product_id,month,gross_price
25891101,7/1/25,-8.4
25891101,1/8/25,unknown
25891101,9/1/25,8.4
25891101,10/1/25,8.3
25891101,11/1/25,8.3
88888888,12/1/25,-8.3
25891102,7/1/25,6.8
25891102,8/1/25,6.8
25891102,9/1/25,6.8
25891102,10/1/25,6.9
25891102,11/1/25,6.9
25891102,12/1/25,6.9
25891103,7/1/25,8.5
25891103,1/8/25,8.5
25891103,9/1/25,8.5
25891103,10/1/25,not_available
25891103,11/1/25,8.6
25891103,12/1/25,8.6
25891201,7/1/25,10.8
25891201,8/1/25,10.8
25891201,9/1/25,10.8
99999999,10/1/25,10.8
25891201,11/1/25,10.8
25891201,12/1/25,10.8
25891202,7/1/25,9.4
25891202,8/1/25,9.4
25891202,1/9/25,9.4
25891202,10/1/25,10
25891202,11/1/25,unknown
88888888,12/1/25,10
25891203,7/1/25,13.2
25891203,8/1/25,13.2
99999999,9/1/25,13.2
25891203,10/1/25,13.8
88888888,11/1/25,13.8
25891203,1/12/25,13.8
25891301,7/1/25,45.6
25891301,8/1/25,45.6
25891301,1/9/25,45.6
25891301,10/1/25,49.3
25891301,11/1/25,49.3
25891301,12/1/25,-49.3
25891302,7/1/25,27.5
25891302,1/8/25,unknown
25891302,9/1/25,-27.5
88888888,10/1/25,30
25891302,11/1/25,-30
25891302,12/1/25,30
25891303,7/1/25,36.9
25891303,1/8/25,36.9
25891303,9/1/25,36.9
25891303,10/1/25,43.2
25891303,11/1/25,43.2
25891303,12/1/25,43.2
25891401,7/1/25,7.4
99999999,8/1/25,7.4
25891401,9/1/25,7.4
25891401,10/1/25,7.9
25891401,11/1/25,7.9
25891401,12/1/25,7.9
25891402,7/1/25,4.7
25891402,8/1/25,4.7
25891402,9/1/25,4.7
25891402,10/1/25,5.3
25891402,11/1/25,5.3
25891402,12/1/25,unknown
77777777,7/1/25,4.9
25891403,8/1/25,4.9
25891403,9/1/25,-4.9
25891403,10/1/25,5
25891403,11/1/25,5
25891403,12/1/25,5
25891501,7/1/25,32.1
25891501,8/1/25,32.1
25891501,1/9/25,32.1
25891501,10/1/25,-36.5
25891501,11/1/25,36.5
25891501,12/1/25,36.5
25891502,7/1/25,20.3
25891502,8/1/25,20.3
99999999,9/1/25,20.3
25891502,10/1/25,23.7
25891502,11/1/25,23.7
25891502,1/12/25,23.7
88888888,7/1/25,29.2
25891503,1/8/25,29.2
25891503,1/9/25,29.2
25891503,10/1/25,unknown
25891503,11/1/25,28.1
25891503,1/12/25,28.1
25891601,7/1/25,-44.4
25891601,8/1/25,44.4
25891601,9/1/25,44.4
25891601,1/10/25,44
25891601,11/1/25,44
88888888,12/1/25,-44
25891602,7/1/25,-28.9
25891602,8/1/25,28.9
25891602,9/1/25,-28.9
88888888,10/1/25,29.6
25891602,11/1/25,29.6
25891602,12/1/25,29.6
25891603,7/1/25,17.1
25891603,8/1/25,17.1
25891603,9/1/25,17.1
25891603,10/1/25,18.7
88888888,11/1/25,18.7
25891603,1/12/25,18.7
